time	V(comp_in)	V(out)	V(tube)
Step Information: Cpar=0  (Step: 1/8)
5.023975206448094e-04	1.825362e-01	4.999866e+00	2.333839e+00
5.024075206448095e-04	1.842307e-01	4.999866e+00	2.389938e+00
5.024175206448095e-04	1.859238e-01	4.999866e+00	2.446030e+00
5.024275206448096e-04	1.876156e-01	4.999866e+00	2.502116e+00
5.024375206448096e-04	1.893061e-01	4.999866e+00	2.558196e+00
5.024475206448097e-04	1.909952e-01	4.999866e+00	2.614268e+00
5.024575206448097e-04	1.926831e-01	4.999866e+00	2.670334e+00
5.024675206448097e-04	1.943697e-01	4.999866e+00	2.726394e+00
5.024775206448098e-04	1.960550e-01	4.999866e+00	2.782447e+00
5.024875206448098e-04	1.977391e-01	4.999866e+00	2.838494e+00
5.024975206448099e-04	1.994220e-01	4.999866e+00	2.894534e+00
5.025075206448099e-04	2.011037e-01	4.999866e+00	2.950568e+00
5.025175206448100e-04	2.027842e-01	4.999866e+00	3.006595e+00
5.025275206448100e-04	2.044635e-01	4.999866e+00	3.062616e+00
5.025375206448101e-04	2.061416e-01	4.999866e+00	3.118630e+00
5.025475206448101e-04	2.078186e-01	4.999866e+00	3.174638e+00
5.025575206448102e-04	2.094945e-01	4.999866e+00	3.230639e+00
5.025675206448102e-04	2.111692e-01	4.999866e+00	3.286633e+00
5.025775206448103e-04	2.128428e-01	4.999866e+00	3.342622e+00
5.025875206448103e-04	2.145153e-01	4.999866e+00	3.398603e+00
5.025975206448104e-04	2.161867e-01	4.999866e+00	3.454579e+00
5.026075206448104e-04	2.178569e-01	4.999866e+00	3.510548e+00
5.026175206448105e-04	2.195262e-01	4.999866e+00	3.566510e+00
5.026275206448105e-04	2.211943e-01	4.999866e+00	3.622466e+00
5.026375206448106e-04	2.228614e-01	4.999866e+00	3.678416e+00
5.026475206448106e-04	2.245274e-01	4.999866e+00	3.734359e+00
5.026575206448107e-04	2.261923e-01	4.999866e+00	3.790295e+00
5.026675206448107e-04	2.278562e-01	4.999866e+00	3.846225e+00
5.026775206448108e-04	2.295191e-01	4.999866e+00	3.902149e+00
5.026875206448108e-04	2.311809e-01	4.999866e+00	3.958066e+00
5.026975206448109e-04	2.328417e-01	4.999866e+00	4.013977e+00
5.027075206448109e-04	2.345015e-01	4.999866e+00	4.069881e+00
5.027175206448110e-04	2.361602e-01	4.999866e+00	4.125779e+00
5.027275206448110e-04	2.378180e-01	4.999866e+00	4.181670e+00
5.027375206448111e-04	2.394747e-01	4.999866e+00	4.237555e+00
5.027475206448111e-04	2.411304e-01	4.999866e+00	4.293434e+00
5.027575206448112e-04	2.427851e-01	4.999866e+00	4.349306e+00
5.027675206448112e-04	2.444388e-01	4.999866e+00	4.405171e+00
5.027775206448113e-04	2.460916e-01	4.999866e+00	4.461030e+00
5.027875206448113e-04	2.477433e-01	4.999866e+00	4.516883e+00
5.027975206448114e-04	2.493940e-01	4.999866e+00	4.572729e+00
5.028075206448114e-04	2.510438e-01	4.999866e+00	4.628569e+00
5.028175206448115e-04	2.526926e-01	4.999866e+00	4.684402e+00
5.028275206448115e-04	2.543404e-01	4.999866e+00	4.740230e+00
5.028375206448116e-04	2.559872e-01	4.999866e+00	4.796050e+00
5.028475206448116e-04	2.576330e-01	4.999866e+00	4.851864e+00
5.028575206448117e-04	2.592779e-01	4.999866e+00	4.907672e+00
5.028675206448117e-04	2.609217e-01	4.999866e+00	4.963473e+00
5.028775206448118e-04	2.625647e-01	4.999866e+00	5.019268e+00
5.028875206448118e-04	2.642066e-01	4.999866e+00	5.075057e+00
5.028975206448119e-04	2.658476e-01	4.999866e+00	5.130838e+00
5.029075206448119e-04	2.674876e-01	4.999866e+00	5.186614e+00
5.029175206448120e-04	2.691267e-01	4.999866e+00	5.242383e+00
5.029275206448120e-04	2.707648e-01	4.999866e+00	5.298146e+00
5.029375206448121e-04	2.724019e-01	4.999866e+00	5.353902e+00
5.029475206448121e-04	2.740381e-01	4.999866e+00	5.409652e+00
5.029575206448122e-04	2.756733e-01	4.999866e+00	5.465395e+00
5.029675206448122e-04	2.773075e-01	4.999866e+00	5.521132e+00
5.029775206448122e-04	2.789408e-01	4.999866e+00	5.576863e+00
5.029875206448123e-04	2.805732e-01	4.999866e+00	5.632587e+00
5.029975206448123e-04	2.822046e-01	4.999866e+00	5.688305e+00
5.030075206448124e-04	2.838350e-01	4.999866e+00	5.744017e+00
5.030175206448124e-04	2.854645e-01	4.999866e+00	5.799721e+00
5.030275206448125e-04	2.870930e-01	4.999866e+00	5.855420e+00
5.030375206448125e-04	2.887206e-01	4.999866e+00	5.911112e+00
5.030475206448126e-04	2.903472e-01	4.999866e+00	5.966798e+00
5.030575206448126e-04	2.919729e-01	4.999866e+00	6.022477e+00
5.030675206448127e-04	2.935976e-01	4.999866e+00	6.078150e+00
5.030775206448127e-04	2.952214e-01	4.999866e+00	6.133817e+00
5.030875206448128e-04	2.968442e-01	4.999866e+00	6.189476e+00
5.030975206448128e-04	2.984660e-01	4.999866e+00	6.245130e+00
5.031075206448129e-04	3.000869e-01	4.999866e+00	6.300777e+00
5.031175206448129e-04	3.017069e-01	4.999866e+00	6.356419e+00
5.031275206448130e-04	3.033259e-01	4.999866e+00	6.412053e+00
5.031375206448130e-04	3.049440e-01	4.999866e+00	6.467681e+00
5.031475206448131e-04	3.065611e-01	4.999866e+00	6.523303e+00
5.031575206448131e-04	3.081773e-01	4.999866e+00	6.578918e+00
5.031675206448132e-04	3.097925e-01	4.999866e+00	6.634527e+00
5.031775206448132e-04	3.114067e-01	4.999866e+00	6.690129e+00
5.031875206448133e-04	3.130201e-01	4.999866e+00	6.745725e+00
5.031975206448133e-04	3.146324e-01	4.999866e+00	6.801315e+00
5.032075206448134e-04	3.162438e-01	4.999866e+00	6.856898e+00
5.032175206448134e-04	3.178543e-01	4.999866e+00	6.912475e+00
5.032275206448135e-04	3.194638e-01	4.999866e+00	6.968045e+00
5.032375206448135e-04	3.210724e-01	4.999866e+00	7.023609e+00
5.032475206448136e-04	3.226800e-01	4.999866e+00	7.079167e+00
5.032575206448136e-04	3.242866e-01	4.999866e+00	7.134718e+00
5.032675206448137e-04	3.258924e-01	4.999866e+00	7.190263e+00
5.032775206448137e-04	3.274971e-01	4.999866e+00	7.245801e+00
5.032875206448138e-04	3.291009e-01	4.999866e+00	7.301333e+00
5.032975206448138e-04	3.307038e-01	4.999866e+00	7.356859e+00
5.033075206448139e-04	3.323057e-01	4.999866e+00	7.412378e+00
5.033175206448139e-04	3.339067e-01	4.999866e+00	7.467891e+00
5.033275206448140e-04	3.355066e-01	4.999866e+00	7.523398e+00
5.033375206448140e-04	3.371057e-01	4.999866e+00	7.578898e+00
5.033475206448141e-04	3.387038e-01	4.999866e+00	7.634392e+00
5.033575206448141e-04	3.403009e-01	4.999866e+00	7.689879e+00
5.033675206448142e-04	3.418971e-01	4.999866e+00	7.745360e+00
5.033775206448142e-04	3.434924e-01	4.999866e+00	7.800835e+00
5.033875206448143e-04	3.450866e-01	4.999866e+00	7.856303e+00
5.033975206448143e-04	3.466800e-01	4.999866e+00	7.911765e+00
5.034075206448144e-04	3.482723e-01	4.999866e+00	7.967220e+00
5.034175206448144e-04	3.498637e-01	4.999866e+00	8.022669e+00
5.034275206448145e-04	3.514542e-01	4.999866e+00	8.078112e+00
5.034375206448145e-04	3.530437e-01	4.999866e+00	8.133548e+00
5.034475206448146e-04	3.546322e-01	4.999866e+00	8.188977e+00
5.034575206448146e-04	3.562198e-01	4.999866e+00	8.244401e+00
5.034675206448147e-04	3.578064e-01	4.999866e+00	8.299818e+00
5.034775206448147e-04	3.593921e-01	4.999866e+00	8.355228e+00
5.034875206448147e-04	3.609768e-01	4.999866e+00	8.410633e+00
5.034975206448148e-04	3.625606e-01	4.999866e+00	8.466031e+00
5.035075206448148e-04	3.641434e-01	4.999866e+00	8.521422e+00
5.035175206448149e-04	3.657252e-01	4.999866e+00	8.576808e+00
5.035275206448149e-04	3.673061e-01	4.999866e+00	8.632187e+00
5.035375206448150e-04	3.688861e-01	4.999866e+00	8.687559e+00
5.035475206448150e-04	3.704650e-01	4.999866e+00	8.742925e+00
5.035575206448151e-04	3.720430e-01	4.999866e+00	8.798285e+00
5.035675206448151e-04	3.736200e-01	4.999866e+00	8.853638e+00
5.035775206448152e-04	3.751961e-01	4.999866e+00	8.908985e+00
5.035875206448152e-04	3.767712e-01	4.999866e+00	8.964326e+00
